id,name_zh,name_en,name_cn,description,category,other_ids
IMG1,200L 大中細厚身有邊藍桶,,,"可以盛載廚餘, 垃圾, 裝魚",200L,"IMG4,IMG7,IMG6"
IMG2,大圓平底有邊,,,"直徑56m x 高度 64m, 23"" x 18"" 適合打漿用",200L,
IMG3,直身滑底有邊大圓桶,,,大泥頭桶 ,200L,"IMG2,IMG4,IMG5"
IMG4,有邊厚身,,,"直徑56m x 高度 50m, 23"" x 18"" 大泥頭桶",200L,
IMG5,滑底無邊,,,"直徑56m x 高度 50m, 23"" x 18"" 大泥頭桶, 可層疊",200L,
IMG6,中有邊厚身大膠桶,,,"直徑56m x 高度 64m, 23"" x 25"" 可以盛載廚餘, 垃圾, 裝魚",200L,
IMG7,大有邊厚身大膠桶,,,"直徑56m x 高度 74m , 23"" x 27""可以盛載廚餘, 垃圾, 裝魚",200L,
IMG8,泥頭打漿桶,,,"適合打漿用, 可放吊船",150L,"IMG10,IMG12,IMG13,IMG14"
IMG9,大厚身有邊大泥頭桶,,,"直徑56m x 高度 50m, 23"" x 18"" 適合打漿用, 倒泥頭",200L,
IMG10,打漿桶,,,"直徑50m x 高度 60m, 18"" x 27"" 適合打漿, 盛載廚餘用",150L,
IMG11,中滑身平底泥頭桶,,,"直徑50m x 高度 46m, 18"" x 18"" 倒泥頭",150L,
IMG12,中滑身尖底泥頭桶,,,"直徑50m x 高度 46m, 18"" x 18"" 倒泥頭",150L,
IMG13,最細方形泥頭桶,,,"直徑36m x 高度 38m, 14"" x 16"" 倒泥頭, 適合吊船用",150L,
IMG14,最細尖底泥頭桶,,,"直徑40m x 高度 35m, 14"" x 16"" 倒泥頭, 適合吊船用",150L,
IMG15,高身尖底廚餘桶,,,盛載廚餘用,150L,"IMG17,IMG14"
IMG16,中高身尖底廚餘桶,,,"直徑50m x 高度 62m, 18"" x 25"" 盛載廚餘用",150L,
IMG17,大高身尖底廚餘桶,,,"直徑50m x 高度 60m, 18"" x 27"" 盛載廚餘用",150L,
IMG18,細尖底廚餘桶,,,"直徑42m x 高度 50m, 14"" x 14"" 倒泥頭, 盛載廚餘用",150L,
IMG19,中尖底泥泥頭桶,,,直徑50m x 高度 46m 倒泥頭,150L,
